Trip,High_Consumption,Energy_per_km,Season,Distance,Velocity_mean,Velocity_max,Velocity_std,Pct_Stationary,Pct_City,Pct_Highway,Pct_Braking,Pct_Accelerating,Pct_Regen,Throttle_mean,Torque_mean,Accel_std,SoC_start,SoC_end,Battery_Temp_mean,Battery_Voltage_mean,Battery_Current_mean,Power_mean,Power_min,Ambient_Temp,Climate_Power_mean,Heating_Active_Pct,AC_Active_Pct,Temp_Diff_mean,Cabin_Temp_mean,Elevation_mean,Elevation_Change_std,Elevation_gain,SoC_Drop,Duration_min,Date,Route/Area,Weather,Distance km,Ambient Temperature (Start) C,Target Cabin Temperature
TripA21,0,0.09975142140801171,Summer,14.3236054166667,26.004880730243585,104.4,23.328484095323205,0.08124464168641889,0.7717484492410106,0.036209592011700036,0.17181905290231478,0.16823843865046145,0.08179938473952292,25.311073679963688,6.530003025871199,0.6904701942903159,71.3,63.7,19.336992788340307,380.7583236673559,-8.499687326642796,-3.167178675530788,-105.990055,23.663533713248274,0.6023627010943567,0.030763023853951285,0.11543698623228604,3.9304690100358073,27.594002723284078,542.0218704927127,0.003960107435709374,5.0,7.599999999999994,33.04666666666667,2019-07-10_16-40-57,Munich East,sunny,14.3236054166667,22.5,22.0
TripA22,0,0.10481708211774438,Summer,19.3708883988889,37.92429749619317,116.30485,30.93279597820813,0.1826734827061127,0.4804763976506417,0.09207091581466173,0.1431912116597781,0.14498586034370242,0.062377637589732436,26.302008933543615,10.332667057319991,0.6978572319748828,87.3,76.5,19.46372606210572,387.48571274526864,-13.112686074070044,-4.980735648120088,-97.33366895894281,16.905200404611705,0.04262780073961279,0.007722427670219708,0.0,3.705666329671525,20.610866734283228,551.1748445437242,0.0040445476963499585,58.99995000000001,10.799999999999997,30.645,2019-07-11_07-48-28,Munich East,sunny,19.3708883988889,17.0,23.0
TripA23,0,0.12368775657900594,Summer,8.35976032388889,28.865468219835027,66.69136,14.41964782722253,0.06493381929790908,0.9044695952426626,0.0,0.1705352004603875,0.16823326299635527,0.04872434298868214,29.159261593132552,9.522624821599846,0.6565685557686332,87.4,81.9,16.88625458852868,388.4450596479954,-11.885932544600038,-4.570520553228057,-40.609055555694404,19.242787362363323,1.3959859399577979,0.38356032994436984,0.12910032610780742,8.706082288509496,27.94886965087282,565.699622373873,0.002437916340260637,8.998590000000036,5.5,17.375,2019-07-12_10-41-36,Munich East,sunny,8.35976032388889,19.5,28.0
TripA24,0,0.12506055597007307,Summer,11.2745380752778,76.26519554866591,124.97121,34.037325725597455,0.034197670048853816,0.1713641488162345,0.5144682450206689,0.14900413378429161,0.13509958662157084,0.06670424652386321,35.09728631905299,12.991207153325817,0.7173835083535042,81.9,74.4,18.10383130026306,380.9069252104472,-31.208108714768883,-11.518483798852595,-103.4837559994832,18.713402643742956,1.309583524990605,0.555054490792935,0.016910935738444193,6.83812136039083,25.551524004133785,582.9779106538895,0.0014900844001352698,9.0,7.5,8.868333333333334,2019-07-12_11-08-00,Munich East,sunny,11.2745380752778,19.0,23.0
TripA25,1,0.1416572851002018,Summer,12.2097497405556,57.63091525632621,143.09375,44.1474334851923,0.1414710895502819,0.36226563524321487,0.2679952799265766,0.11537957257112888,0.1724137931034483,0.06844106463878327,31.2752757886456,13.878059896420611,0.6658470062299786,74.4,65.2,19.54332157466894,377.40431468467284,-26.908418855382195,-9.915304020765504,-90.05013685200001,17.96096680346139,1.5533958030680477,0.9154320178313885,0.0031467156155762423,10.813760541497311,28.774727344958702,579.1866184738429,0.00013683278017491193,0.0,9.200000000000003,12.71,2019-07-12_10-59-05,Munich East,sunny,12.2097497405556,17.0,33.0
TripA26,0,0.07715073430698267,Summer,18.0322327777778,40.26549931770252,101.03,22.62263433123482,0.044907579704751274,0.7026423520655005,0.07281974941074308,0.18676342885498076,0.17212504652028285,0.06996650539635281,29.51611710705868,8.160033494603647,0.7085466390929628,86.2,78.8,19.427483562833395,388.00584852995905,-10.194972708100732,-3.8559630630753006,-108.82657549999999,22.40776082371914,0.11782036968118098,0.022081627589629078,0.0,11.131981764049128,33.539742587768266,549.1216418558491,0.006084932454391702,9.0,7.400000000000006,26.868333333333332,2019-07-15_13-08-25,Munich East,slightly cloudy,18.0322327777778,22.0,30.0
TripA27,0,0.10766601300704114,Summer,20.4298453947222,36.76453057785554,108.01563,23.848373985068186,0.09807548112971758,0.6474381404648838,0.04528867783054236,0.16320919770057485,0.17740564858785304,0.08582854286428393,28.629182186453384,10.041997474131469,0.7209123005435285,78.5,66.8,21.513760266933268,382.97005850587357,-12.985331630092478,-4.855508083856138,-90.81919081865409,23.770714193951513,0.4640864558860285,0.014296425893526619,0.16760809797550613,5.390686023994002,29.161400217945516,546.0686803164209,0.004024597475603946,61.99711000000002,11.700000000000003,33.34,2019-07-15_13-45-10,Munich East,slightly cloudy,20.4298453947222,25.5,25.0
TripA28,0,0.09537124715606944,Summer,19.5153157319444,40.293150169190184,93.7683,22.853580555567465,0.07025693966506079,0.5615966964900206,0.01938518008717596,0.1462491397109429,0.14217710484055976,0.06503785271851342,29.91867960770819,9.256492532690984,0.6929567413938158,81.9,72.0,18.659684497017665,385.5036181744666,-12.651491796857076,-4.79074854198728,-73.3667384914745,20.86199575820142,0.7604388609772883,0.17022252810277586,0.15238586831842166,7.385001660931406,28.24699741913283,562.1229716632256,0.00559252515893397,27.998640000000023,9.900000000000006,29.058333333333334,2019-07-16_10-31-30,Munich East,sunny,19.5153157319444,20.5,25.0
TripA29,0,0.0897835709484024,Summer,16.3326094575,43.91534684391337,95.15104,23.689987523683836,0.02852875280059746,0.49820761762509336,0.06161314413741598,0.17513069454817026,0.17759522031366692,0.0946975354742345,30.545767394324123,9.580369784167289,0.7242419104251384,70.9,63.1,20.45276180059746,380.38580453323374,-12.928718412247946,-4.7854828877933855,-96.8262984495996,22.205843032860344,0.17444393203883493,0.03375653472740851,0.002987303958177745,7.529925368932038,29.735768401792384,564.054388820015,0.002985488954547493,24.0,7.800000000000004,22.315,2019-07-16_11-10-00,Munich East,sunny,16.3326094575,24.0,29.0
TripA30,0,0.10921139447488443,Summer,7.74644444444444,27.633956006869898,59.07162,14.414462644268923,0.0490911693144411,0.9256476313152998,0.0,0.16852726492056677,0.16816945756404753,0.08107914698726205,28.340363119364536,8.393768364820382,0.6991707403307597,85.5,81.0,20.0,389.0909417961929,-7.170122970516673,-2.7528783731868707,-43.942612574,19.73754043724059,0.0872517124660083,0.0164591383998855,0.0,4.1573140017174754,23.894854438958063,565.1902917897525,0.0016072825128467796,1.9995300000000498,4.5,23.288333333333334,2019-07-19_09-34-23,Munich East,sunny,7.74644444444444,19.0,25.0
TripA31,0,-0.017651419823911028,Summer,15.9760519444444,48.45306402695872,116.16,28.998811865314586,0.03614153327716933,0.4923336141533277,0.146335299073294,0.16655433866891323,0.17059814658803707,0.06882898062342038,32.2155551811289,11.35231339511373,0.6999417444254089,81.0,71.9,20.746353833192924,384.22493091828136,-17.095472620050547,-6.408520815526537,-102.0005151,20.33050547598989,0.558620050547599,0.12889637742207244,0.07051390058972198,6.179498736310026,26.510004212299915,565.5599907329402,0.005148467703990569,20.0,9.099999999999994,19.78166666666667,2019-07-19_09-34-23,Munich East,sunny,15.9760519444444,23.5,26.0
TripA32,1,0.136423412415428,Summer,37.2076897222222,80.10266893912213,151.59,45.70260636940428,0.05866523143164693,0.2357971534505442,0.5687118765697883,0.123191005860543,0.1570984332017701,0.05142925487381892,36.09362516445401,14.614541322808275,0.6805549412017368,86.5,59.5,23.888717856715704,378.4957110393494,-35.867802296376034,-13.231417930211698,-112.69954000000001,29.06001196029183,0.6062008132998444,0.02852529601722282,0.126958497787346,-5.036042339433081,24.02396962085875,589.3053115656022,0.014940002390363017,89.99000000000001,27.0,27.868333333333332,2019-07-22_12-56-55,Munich East,slightly cloudy,37.2076897222222,20.0,27.5
TripB01,1,0.13909125124381957,Winter,38.7918,42.94559131250384,150.84375,28.478524966722865,0.11888800049203518,0.4964634971400455,0.08293868011562827,0.17682514299772434,0.1528999323451627,0.07079156159665416,29.624543448859093,11.548482553970109,0.78740060823364,86.1,57.4,10.747815052893781,378.6607276400763,-19.612629388646287,-7.090755604402849,-134.2659952080864,9.465374919736762,1.1882901054800417,0.9939110646411219,0.013038932283658282,14.190017183098592,23.655392102835354,477.8907736948767,0.0033351014264906185,35.99913000000004,28.699999999999996,54.195,2019-12-07_12-35-00,FTMRoute (2x),cloudy,38.7918,8.5,22.0
TripB02,1,0.14701468878791085,Winter,18.926,42.284887358033885,135.12,27.71516581272063,0.056227890523180044,0.6046670390368026,0.07037795568795382,0.15403711289021288,0.23117979271395767,0.05169738720287966,36.636652392478126,19.50985601688078,0.8705156495538829,81.0,66.2,14.069949109414758,381.58192080928444,-26.49762365791597,-9.85306208550239,-128.61228799999998,7.202610935269658,3.458748836343325,0.9923043505244212,0.0,14.767194811642772,21.96980574691243,476.475171600571,0.21719159401663715,50.55000000000001,14.799999999999997,26.853333333333335,2019-12-07_17-49-35,FTMRoute,"dark, little rainy",18.926,6.5,22.0
TripB03,1,0.16476180165689752,Winter,19.3977,44.21409395973154,152.26,32.02235605949585,0.16328985690768646,0.3748258832468026,0.0995314676459415,0.17082436368241105,0.1506268203115107,0.08933772318602001,29.594747372419906,12.306275167785234,0.8322131821804815,67.4,50.4,10.50797707990376,370.16632455362793,-23.993421552488286,-8.457522514435862,-126.5714736,4.969050272255286,1.739708117006458,0.9612511080157021,0.0,15.081171330885148,20.050221603140432,482.6729815119666,0.005299509247232441,13.0,17.000000000000007,26.321666666666665,2019_12_08_09-38-26,FTMRoute,sunny,19.3977,3.5,22.0
TripB04,0,-0.2730170590468385,Winter,16.5953,20.216400676818953,130.48,33.05408119742159,0.5713705583756346,0.27086294416243656,0.09137055837563451,0.07360406091370558,0.06944162436548224,0.024365482233502538,14.1104372250423,6.054492385786802,0.47261175711449704,45.1,69.2,16.567219289340102,379.7336957698816,17.09361184433164,7.045947894050761,-101.7621,10.13479932318105,0.7060544839255499,0.4331979695431472,0.005143824027072758,11.841535363790186,21.97633468697124,515.5945807106599,0.008080066724418666,102.0,-24.1,49.248333333333335,2019_12_08_13-47-18,Munich North + Fast Charging,cloudy,16.5953,9.0,22.0
